chapter_id,chunk_id,original_classification,review_status,best_score,score_margin,paragraph_start,paragraph_end,recommended_action,source_excerpt_role,candidate_preview
ch10,ch10_src_002,summary_with_term_support,term_supported_summary_review,0.517533,0.02063,4781,4781,保留为教学摘要候选；人工确认术语锚点是否足以支撑该 Source_Chunk。,teaching_summary_with_term_support_not_verbatim,4.了解监督学习、无监督学习及深度学习在处理多源异构道路数据中的作用。了解利用遥感与历史数据，通过机器学习模型进行模式识别，自动生成地质灾害风险地图以辅助选线。了解推荐系统在路线设计中的应用模式。
ch10,ch10_src_018,cross_paragraph_or_formula_fragment,boundary_fragment_review,0.871452,0.091051,4815,4815,疑似跨段、公式或列表边界片段；人工确认是否拆分、补公式上下文或仅保留为摘要。,boundary_fragment_needs_manual_confirmation,知识驱动型设计系统可分为如下三个核心功能模块（如图 10-2所示）：
ch10,ch10_src_031,summary_with_term_support,term_supported_summary_review,0.885056,0.126749,4912,4912,保留为教学摘要候选；人工确认术语锚点是否足以支撑该 Source_Chunk。,teaching_summary_with_term_support_not_verbatim,"设路线为线要素A，地质体为面要素B，DEM-9IM拓扑谓词TA,B∈{Intersects,Contains,Touches,Disjoint,⋯}。在“坐标分区”模型下，令地质体内部关键分区边界集合为L=lkk=1m(如滑坡前缘、后缘、泥石流形成区-流通区-堆积扇边界)。"
ch10,ch10_src_034,cross_paragraph_or_formula_fragment,boundary_fragment_review,0.715594,0.360888,4926,4926,疑似跨段、公式或列表边界片段；人工确认是否拆分、补公式上下文或仅保留为摘要。,boundary_fragment_needs_manual_confirmation,（1）目标实例构建：语义一致的属性向量表示
ch10,ch10_src_060,cross_paragraph_or_formula_fragment,boundary_fragment_review,0.963469,8e-06,5024,5026,疑似跨段、公式或列表边界片段；人工确认是否拆分、补公式上下文或仅保留为摘要。,boundary_fragment_needs_manual_confirmation,在多目标优化问题中，目标函数之间往往是冲突的，这使得问题不再是一个单一的最优解问题，而是一个需要在多个解之间权衡的帕累托优化（Pareto Optimality）问题。在这种情况下，需要从多个优化目标之间找到最优的折衷解。 1.帕累托支配与帕累托前沿 在多目标优化中，解xa支配解xb表示xa在所有目标上都不劣于xb，…
ch10,ch10_src_075,cross_paragraph_or_formula_fragment,boundary_fragment_review,0.896091,0.00012,5081,5083,疑似跨段、公式或列表边界片段；人工确认是否拆分、补公式上下文或仅保留为摘要。,boundary_fragment_needs_manual_confirmation,"（4）奖励函数 r(s,a)：对动作即时“好/坏”的量化反馈； （5）折扣因子 γ∈(0,1]：平衡近/远期收益。值越大，智能体越看重长期回报；值越小，智能体越看重当前的即时奖励。 从时刻 t 起的折扣回报与优化目标为："
ch10,ch10_src_087,cross_paragraph_or_formula_fragment,boundary_fragment_review,0.920224,0.117956,5133,5133,疑似跨段、公式或列表边界片段；人工确认是否拆分、补公式上下文或仅保留为摘要。,boundary_fragment_needs_manual_confirmation,（5）计算梯度并更新Q网络参数；每隔固定步数，将当前Q网络参数软更新或拷贝至目标网络，以保持训练稳定。
ch10,ch10_src_096,summary_with_term_support,term_supported_summary_review,0.852805,0.340618,4794,4794,保留为教学摘要候选；人工确认术语锚点是否足以支撑该 Source_Chunk。,teaching_summary_with_term_support_not_verbatim,（2）执行：跨平台调用GIS分析、优化库、BIM建模与模拟评估工具，自动传递数据与参数；
ch10,ch10_src_135,needs_manual_textbook_anchor,candidate_anchor_review,0.839208,0.047059,4884,4884,已生成候选 Word 段落；人工确认后可作为概念依据对应，不标记为逐字原文。,candidate_concept_anchor_not_verbatim,通过对专业书籍、设计规范和专家经验的系统性梳理，提炼出经典的、被广泛接受的设计原则。
ch10,ch10_src_140,needs_manual_textbook_anchor,manual_anchor_required,0.263417,0.068917,4913,4913,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,"当TA,B=Intersects 且 A∩lk≠ϕ,则生成工程语义事实：fk:分区=pk，pkϵ前缘、后缘、形成区-流通区-堆积扇。"
ch10,ch10_src_144,needs_manual_textbook_anchor,candidate_anchor_review,0.909516,0.31171,4920,4920,已生成候选 Word 段落；人工确认后可作为概念依据对应，不标记为逐字原文。,candidate_concept_anchor_not_verbatim,（1）相似点分析：当前情境与历史实例在哪些关键维度（如地貌类型、滑动方向、滑坡规模等）表现出高度一致；
ch10,ch10_src_146,needs_manual_textbook_anchor,candidate_anchor_review,0.782241,0.372277,4922,4922,已生成候选 Word 段落；人工确认后可作为概念依据对应，不标记为逐字原文。,candidate_concept_anchor_not_verbatim,（3）参考方案：历史实例中采用的设计策略是否具备迁移价值；
ch10,ch10_src_148,needs_manual_textbook_anchor,candidate_anchor_review,0.918546,0.080771,4927,4927,已生成候选 Word 段落；人工确认后可作为概念依据对应，不标记为逐字原文。,candidate_concept_anchor_not_verbatim,为保证与知识库中实例的结构一致，当前设计情境首先通过语义关系重构，统一转化为属性向量。该向量包含地质地貌类型、滑坡空间位置、破坏机制、构造背景等多个字段，确保与实例库的属性结构一一对应。
ch11,ch11_src_046,needs_manual_textbook_anchor,candidate_anchor_review,0.88717,0.058418,5362,5364,已生成候选 Word 段落；人工确认后可作为概念依据对应，不标记为逐字原文。,candidate_concept_anchor_not_verbatim,3.环境边界与路面状态感知 环境边界条件是评价道路运行安全与环境效应的重要依据。 （1）路面状态感知
ch11,ch11_src_117,needs_manual_textbook_anchor,manual_anchor_required,0.422103,0.022034,5568,5568,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,对于山区高墩桥梁或跨海大桥，数字孪生设计场景引入了风场仿真，，模拟峡谷风、强侧风或台风等典型风场条件，评估桥梁的抗风稳定性，评价横风环境下车辆的行驶稳定性，为挡风屏的设计提供科学依据。
ch11,ch11_src_118,summary_with_term_support,term_supported_summary_review,0.218318,0.003617,5568,5568,保留为教学摘要候选；人工确认术语锚点是否足以支撑该 Source_Chunk。,teaching_summary_with_term_support_not_verbatim,对于山区高墩桥梁或跨海大桥，数字孪生设计场景引入了风场仿真，，模拟峡谷风、强侧风或台风等典型风场条件，评估桥梁的抗风稳定性，评价横风环境下车辆的行驶稳定性，为挡风屏的设计提供科学依据。
ch11,ch11_src_119,needs_manual_textbook_anchor,manual_anchor_required,0.148453,0.001469,5556,5557,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,决策支持不应局限于短期运行效果，还应结合数字孪生长期积累的数据，对决策方案在设施性能演化、路网运行效率、社会服务水平及资源投入等方面的综合影响进行评估。这体现了道路工程管理由传统“经验驱动”向“数据与机理混合驱动”的转变，是提升行业治理体系与治理能力现代化的重要技术支撑。 第三节 道路数字孪生典型应用场景
ch11,ch11_src_120,summary_with_term_support,term_supported_summary_review,0.168405,0.000468,5557,5558,保留为教学摘要候选；人工确认术语锚点是否足以支撑该 Source_Chunk。,teaching_summary_with_term_support_not_verbatim,第三节 道路数字孪生典型应用场景 在道路工程的全生命周期中，数字孪生技术通过构建“数字原型”与物理实体的动态映射，将传统孤立的工程环节转化为连续的价值链条。本节重点介绍数字孪生在设计、施工、养护与运营四个阶段的典型业务实践。
ch11,ch11_src_121,needs_manual_textbook_anchor,manual_anchor_required,0.165384,0.004536,5557,5559,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,第三节 道路数字孪生典型应用场景 在道路工程的全生命周期中，数字孪生技术通过构建“数字原型”与物理实体的动态映射，将传统孤立的工程环节转化为连续的价值链条。本节重点介绍数字孪生在设计、施工、养护与运营四个阶段的典型业务实践。 一、数字化设计与多物理场仿真
ch11,ch11_src_122,needs_manual_textbook_anchor,manual_anchor_required,0.155989,0.001184,5556,5557,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,决策支持不应局限于短期运行效果，还应结合数字孪生长期积累的数据，对决策方案在设施性能演化、路网运行效率、社会服务水平及资源投入等方面的综合影响进行评估。这体现了道路工程管理由传统“经验驱动”向“数据与机理混合驱动”的转变，是提升行业治理体系与治理能力现代化的重要技术支撑。 第三节 道路数字孪生典型应用场景
ch11,ch11_src_123,cross_paragraph_or_formula_fragment,boundary_fragment_review,0.208095,0.000915,5555,5557,疑似跨段、公式或列表边界片段；人工确认是否拆分、补公式上下文或仅保留为摘要。,boundary_fragment_needs_manual_confirmation,（2）全生命周期价值评估 决策支持不应局限于短期运行效果，还应结合数字孪生长期积累的数据，对决策方案在设施性能演化、路网运行效率、社会服务水平及资源投入等方面的综合影响进行评估。这体现了道路工程管理由传统“经验驱动”向“数据与机理混合驱动”的转变，是提升行业治理体系与治理能力现代化的重要技术支撑。 第三节 道路数字孪…
ch11,ch11_src_124,needs_manual_textbook_anchor,manual_anchor_required,0.174229,0.002882,5557,5557,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,第三节 道路数字孪生典型应用场景
ch11,ch11_src_125,needs_manual_textbook_anchor,manual_anchor_required,0.161527,0.001225,5556,5557,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,决策支持不应局限于短期运行效果，还应结合数字孪生长期积累的数据，对决策方案在设施性能演化、路网运行效率、社会服务水平及资源投入等方面的综合影响进行评估。这体现了道路工程管理由传统“经验驱动”向“数据与机理混合驱动”的转变，是提升行业治理体系与治理能力现代化的重要技术支撑。 第三节 道路数字孪生典型应用场景
ch11,ch11_src_126,needs_manual_textbook_anchor,manual_anchor_required,0.173507,0.004834,5555,5557,未形成稳定候选段落；需人工回看教材原文，决定补锚点、改写边界或降级为教学摘要。,manual_textbook_anchor_required,（2）全生命周期价值评估 决策支持不应局限于短期运行效果，还应结合数字孪生长期积累的数据，对决策方案在设施性能演化、路网运行效率、社会服务水平及资源投入等方面的综合影响进行评估。这体现了道路工程管理由传统“经验驱动”向“数据与机理混合驱动”的转变，是提升行业治理体系与治理能力现代化的重要技术支撑。 第三节 道路数字孪…
